Hidden Units,Training Error,Validation Error,Macro F1,Balanced Accuracy
6,0.12639405204460963,0.14710253477096558,0.8184864505049878,0.81658366280178
7,0.10966542750929364,0.13521546125411987,0.8284806092008115,0.8245075021855014
8,0.10594795539033453,0.13521546125411987,0.8267280986618047,0.823059402092823
9,0.09553903345724912,0.12927192449569702,0.8427086949693333,0.836448617711435
10,0.09591078066914493,0.13224369287490845,0.8375327051609626,0.8316293406030011
11,0.09479553903345728,0.1263001561164856,0.8466482529377215,0.8409859158401198
12,0.09330855018587358,0.1263001561164856,0.8466482529377215,0.8409859158401198
13,0.09182156133829,0.12332838773727417,0.8501750612112048,0.8440751138761264
14,0.09033457249070631,0.12481427192687988,0.8500471963759775,0.845727796620196
15,0.09293680297397766,0.1263001561164856,0.8482473901935874,0.8424340159327983
