Hidden Units,Training Error,Validation Error,Macro F1,Balanced Accuracy
1,0.28548387096774197,0.2924731373786926,0.5885,0.6402
2,0.09731182795698923,0.1204301118850708,0.8592551136598872,0.8568088844740664
3,0.09838709677419355,0.10967743396759033,0.8727474960061502,0.8683967919550543
4,0.08602150537634412,0.10752689838409424,0.8754650746608714,0.8711117742245578
5,0.07150537634408605,0.09462368488311768,0.8909350767864476,0.8850591862129368
6,0.05913978494623651,0.07526880502700806,0.9139797522576939,0.9069299138041528
7,0.056451612903225756,0.08387094736099243,0.9039295102149854,0.8977045148679825
8,0.052688172043010795,0.08387094736099243,0.9039132465941004,0.8972966333418781
9,0.05215053763440858,0.07956987619400024,0.9086698971243352,0.9026157822780483
10,0.051075268817204256,0.07741934061050415,0.9117649934342815,0.9056278304708194
