Hidden Units,Training Error,Validation Error,Macro F1,Balanced Accuracy
12,0.21281296023564067,0.27491408586502075,0.7402513480213335,0.7024817154481106
13,0.21944035346097202,0.2646048069000244,0.7491641665740706,0.7122294759384454
14,0.21354933726067749,0.2646048069000244,0.7601969070542504,0.7266880646544598
15,0.21207658321060385,0.2714776396751404,0.7532331345868076,0.7183547313211266
16,0.19808541973490423,0.2680412530899048,0.752765297781063,0.7306132020661601
17,0.20324005891016206,0.27491408586502075,0.7514425601671304,0.7195587802974527
18,0.1966126656848306,0.27491408586502075,0.7542896548744632,0.7240967340928322
19,0.19734904270986742,0.2646048069000244,0.7518650358506077,0.7247685869924079
20,0.19808541973490423,0.26116836071014404,0.7556671637564614,0.7308371530326854
21,0.1921944035346097,0.2474226951599121,0.7653073240791074,0.7439323911279233
22,0.19587628865979378,0.25773197412490845,0.7642482866232985,0.7332181054136377
23,0.19734904270986742,0.26116836071014404,0.7556671637564614,0.7308371530326854
24,0.1921944035346097,0.2680412530899048,0.7508341875766525,0.7280082987186826
25,0.19734904270986742,0.2680412530899048,0.7508341875766525,0.7280082987186826
