Hidden Units,Training Error,Validation Error,Macro F1,Balanced Accuracy
1,0.3900789177001127,0.42105263471603394,0.2821,0.3265
2,0.24577226606538893,0.2631579041481018,0.4874,0.5149
3,0.17361894024802704,0.23157894611358643,0.5766936174040819,0.5853865004727073
4,0.13528748590755357,0.2052631378173828,0.712469724470282,0.6869858270720339
5,0.10822998872604284,0.17894738912582397,0.7802913279132792,0.762070002156209
6,0.10710259301014657,0.1736842393875122,0.7914807915217752,0.7772215173077242
7,0.10372040586245768,0.17894738912582397,0.7793265965104372,0.7702770728632798
8,0.10372040586245768,0.1736842393875122,0.7914807915217752,0.7772215173077242
9,0.10484780157835405,0.1736842393875122,0.7914807915217752,0.7772215173077242
10,0.07553551296505068,0.13157892227172852,0.8448742292981465,0.8475614104924452
11,0.07440811724915442,0.13157892227172852,0.8412016714042401,0.850736013667048
12,0.07666290868094705,0.12105262279510498,0.8504746531380915,0.8563873546632168
13,0.07440811724915442,0.13157892227172852,0.8448607107775653,0.850736013667048
14,0.07215332581736189,0.12631577253341675,0.846160054634631,0.8536095768854389
15,0.07102593010146563,0.12631577253341675,0.846160054634631,0.8536095768854389
