,precision,recall,f1-score,support
Dirtiness,0.6,0.75,0.6666666666666666,8.0
Stains,0.8333333333333334,0.9090909090909091,0.8695652173913043,11.0
Pastry,0.5263157894736842,0.43478260869565216,0.47619047619047616,23.0
Z_Scratch,0.9615384615384616,0.8620689655172413,0.9090909090909091,29.0
K_Scatch,0.9655172413793104,0.9491525423728814,0.9572649572649573,59.0
Bumps,0.7,0.6885245901639344,0.6942148760330579,61.0
Other_Faults,0.719626168224299,0.7623762376237624,0.7403846153846154,101.0
accuracy,0.773972602739726,0.773972602739726,0.773972602739726,0.773972602739726
macro avg,0.7580472848498699,0.7651422647806259,0.7590539597174268,292.0
weighted avg,0.7750147446616791,0.773972602739726,0.773353267503939,292.0
